State,id,Population,Area,Density,Unemployment,Mean_Income,Median_Income,Urbanity
Alabama,AK,4858979.,50744.,95.8,12.9,70090.35,49396.,9.605935
Alaska,AL,738432.,571951.,1.3,12.9,91268.57,68400.,8.735964
Arizona,AR,6828065.,113635.,60.1,12.6,87823.18,62311.,11.29971
Arkansas,AZ,2978204.,52068.,57.2,10.2,68079.14,49778.,9.259444
California,CA,39144818.,155959.,251.,15.5,102375.47,70001.,12.19028
Colorado,CO,5456574.,103718.,52.6,11.3,98129.07,72620.,11.15445
Connecticut,CT,3590886.,4845.,741.2,7.9,103865.55,73011.,11.40968
Delaware,DE,945934.,1954.,484.1,14.3,93957.11,65002.,11.00999
Florida,FL,20271272.,53927.,375.9,12.9,78433.46,54401.,11.46484
Georgia,GA,10214860.,57906.,176.4,11.9,79797.68,56000.,10.55233
Hawaii,HI,1431603.,6423.,222.9,22.3,108561.68,80000.,11.08621
Idaho,IA,1654930.,82747.,20.,11.5,77877.59,58729.,9.593634
Illinois,ID,12859995.,55584.,231.4,16.4,97212.04,70000.,11.62372
Indiana,IL,6619680.,35867.,184.6,16.9,78056.95,59690.,10.4105
Iowa,IN,3123899.,55869.,55.9,10.2,86231.8,68844.,9.593525
Kansas,KS,2911641.,81815.,35.6,11.2,84168.27,63726.,10.12044
Kentucky,KY,4425092.,39728.,111.4,15.4,80547.15,54616.,9.789536
Louisiana,LA,4670724.,43562.,107.2,14.5,71388.37,49665.,10.17518
Maine,MA,1329328.,30862.,43.1,10.6,74331.65,58001.,9.037091
Maryland,MD,6006401.,9774.,614.5,9.9,108787.55,86051.,11.71105
Massachusetts,ME,6794422.,7840.,866.6,15.1,117996.28,86651.,11.83973
Michigan,MI,9922576.,56804.,174.7,22.7,82676.47,60002.,10.80559
Minnesota,MN,5489594.,79610.,69.,8.1,96785.18,72070.,10.45684
Mississippi,MO,2992333.,46907.,63.8,15.4,60922.93,43000.,8.910859
Missouri,MS,6083672.,68886.,88.3,9.7,86397.22,61110.,10.20212
Montana,MT,1032949.,145552.,7.1,11.3,74351.71,58000.,8.470226
Nebraska,NC,1896190.,76872.,24.7,8.3,89613.73,67653.,10.19912
Nevada,ND,2890845.,109826.,26.3,28.2,83997.52,61900.,11.76972
New Hampshire,NE,1330608.,8968.,148.4,16.3,101016.39,81000.,9.917139
New Jersey,NH,8958013.,7417.,1207.8,15.3,114160.42,74100.,12.23565
New Mexico,NJ,2085109.,121356.,17.2,11.3,75956.72,48000.,9.896993
New York,NM,19795791.,47214.,419.3,14.5,102330.23,67105.,12.55857
North Carolina,NV,10042802.,48711.,206.2,12.2,75741.17,52943.,10.32481
North Dakota,NY,756927.,68976.,11.,8.5,86102.51,66005.,9.054678
Ohio,OH,11613423.,40948.,283.6,16.8,82985.94,61398.,10.87687
Oklahoma,OK,3911338.,68667.,57.,13.7,74872.16,54005.,9.93928
Oregon,OR,4028977.,95997.,42.,14.2,91458.36,69358.,10.71233
Pennsylvania,PA,12802503.,44817.,285.7,15.1,88716.82,64305.,11.14623
Rhode Island,RI,1056298.,1045.,1010.8,17.,92008.88,62341.,11.72124
South Carolina,SC,4896146.,30110.,162.6,12.1,80500.78,57090.,10.11142
South Dakota,SD,858469.,75885.,11.3,10.2,84257.55,59344.,8.728642
Tennessee,TN,6600299.,41217.,160.1,14.7,79019.22,55601.,10.19729
Texas,TX,27469114.,261797.,104.9,12.8,84470.84,59703.,11.17488
Utah,UT,2995919.,82144.,36.5,9.7,100221.8,76613.,10.96281
Vermont,VA,626042.,9250.,67.7,15.6,84281.16,69844.,8.843222
Virginia,VT,8382993.,39594.,211.7,10.6,105791.79,76786.,10.90625
Washington,WA,7170351.,66544.,107.8,15.4,106407.57,79801.,11.11933
West Virginia,WI,1844128.,24078.,76.6,15.2,66563.23,50180.,9.111112
Wisconsin,WV,5771337.,54310.,106.3,14.1,80671.17,62676.,10.19131
Wyoming,WY,586107.,97100.,6.,9.2,80293.39,62002.,8.256294